Trial #	Score1	Score2	Score3	Trades1	Trades2	Trades3	Fees1	Fees2	Fees3	Winrate1	Winrate2	Winrate3	Average	Deviation	Parameters
23	1.55	2.87	4.4	491	49	31	9028.68	447.65	296.25	59	61	77	2.94	1.42629	{'ott_len': 60, 'ott_percent': 92, 'ott_bw_up': 104, 'ott_bw_down': 97, 'tps_qty_index': 104, 'max_risk_long': 63, 'max_risk_short': 48}
58	0.29	2.96	2.7	588	89	51	4812.75	794.73	468.58	48	55	61	1.983	1.47222	{'ott_len': 24, 'ott_percent': 130, 'ott_bw_up': 133, 'ott_bw_down': 169, 'tps_qty_index': 33, 'max_risk_long': 54, 'max_risk_short': 30}
81	0.39	1.07	2.58	743	119	55	4576.53	913.79	499.55	47	54	64	1.347	1.12091	{'ott_len': 15, 'ott_percent': 127, 'ott_bw_up': 144, 'ott_bw_down': 144, 'tps_qty_index': 43, 'max_risk_long': 60, 'max_risk_short': 25}
142	1.46	1.27	3.41	164	17	16	2142.09	146.41	143.64	57	53	81	2.047	1.1845	{'ott_len': 58, 'ott_percent': 127, 'ott_bw_up': 135, 'ott_bw_down': 151, 'tps_qty_index': 11, 'max_risk_long': 60, 'max_risk_short': 25}
146	0.53	2.35	2.57	402	42	27	3357.15	377.31	233.2	51	55	63	1.817	1.1197	{'ott_len': 24, 'ott_percent': 130, 'ott_bw_up': 158, 'ott_bw_down': 169, 'tps_qty_index': 66, 'max_risk_long': 54, 'max_risk_short': 46}
151	0.44	3.1	3.06	595	89	51	5563.17	802.28	469.36	52	58	69	2.2	1.52434	{'ott_len': 24, 'ott_percent': 130, 'ott_bw_up': 133, 'ott_bw_down': 169, 'tps_qty_index': 48, 'max_risk_long': 57, 'max_risk_short': 30}
193	1.74	0.42	3.65	213	21	18	2908.96	170.87	161.39	64	62	78	1.937	1.62396	{'ott_len': 55, 'ott_percent': 130, 'ott_bw_up': 133, 'ott_bw_down': 169, 'tps_qty_index': 109, 'max_risk_long': 60, 'max_risk_short': 30}
254	1.52	1.38	3.46	428	54	30	6609.48	498.6	271.4	55	56	63	2.12	1.16258	{'ott_len': 64, 'ott_percent': 90, 'ott_bw_up': 91, 'ott_bw_down': 112, 'tps_qty_index': 16, 'max_risk_long': 60, 'max_risk_short': 28}
255	1.33	2.5	2.98	418	50	35	5985.62	504.41	303.04	52	56	66	2.27	0.8487	{'ott_len': 64, 'ott_percent': 190, 'ott_bw_up': 144, 'ott_bw_down': 126, 'tps_qty_index': 11, 'max_risk_long': 60, 'max_risk_short': 32}
265	1.38	1.32	3.92	184	13	13	2532.37	106.4	116.68	55	54	92	2.207	1.48409	{'ott_len': 64, 'ott_percent': 128, 'ott_bw_up': 133, 'ott_bw_down': 112, 'tps_qty_index': 16, 'max_risk_long': 60, 'max_risk_short': 32}
