Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'0510981021430910700293'	2021-01-01	2021-12-01	176	100	0	530.0	-11.21	663.55	68	86.7	5.26	59.21	8	3	2515.06	-1847.39	119	57	4185.4	730.22
ETH-USDT	5m	'0510710891191000700323'	2021-01-01	2021-12-01	173	100	0	344.26	-13.77	430.19	71	29.71	5.08	31.24	12	4	1217.63	-1255.18	122	51	3369.5	730.22
ETH-USDT	5m	'0510710891191070700323'	2021-01-01	2021-12-01	170	100	0	320.55	-14.22	397.72	75	25.37	5.03	27.96	14	4	1244.39	-1203.4	128	42	3138.52	730.22
ETH-USDT	5m	'0510710891290660700323'	2021-01-01	2021-12-01	174	100	0	438.37	-14.79	548.66	69	29.29	5.01	37.09	12	4	1891.46	-1421.93	120	54	3860.78	730.22
ETH-USDT	5m	'0510710891571160700683'	2021-01-01	2021-12-01	177	98	2	292.35	-12.76	369.7	72	24.74	4.99	28.98	14	4	1006.11	-1125.82	128	49	3117.79	730.22
ETH-USDT	5m	'0510710891441020700403'	2021-01-01	2021-12-01	177	100	0	344.76	-13.92	433.96	72	24.42	4.94	31.18	12	4	1459.9	-1243.07	127	50	3423.65	730.22
ETH-USDT	5m	'0510710891191020700323'	2021-01-01	2021-12-01	177	100	0	344.76	-13.92	433.96	72	24.42	4.94	31.18	12	4	1459.9	-1243.07	127	50	3423.65	730.22
ETH-USDT	5m	'0510881001190860670383'	2021-01-01	2021-12-01	153	100	0	312.53	-13.74	387.77	73	27.98	4.87	28.22	13	4	1111.92	-1056.23	111	42	2698.74	730.22
ETH-USDT	5m	'0511331211161070700213'	2021-01-01	2021-12-01	157	100	0	292.57	-5.76	351.51	75	57.64	4.75	60.98	14	2	1153.53	-1197.98	118	39	2809.34	730.22
ETH-USDT	5m	'0510880971591160600253'	2021-01-01	2021-12-01	170	100	0	249.72	-11.24	317.93	71	16.23	4.69	28.27	14	3	897.43	-1373.39	121	49	2897.44	730.22
